magnitude,cdi,mmi,alert,tsunami,sig,net,dmin,gap,depth
6.9,0,5,green,1,732,us,4.838,25.0,8.0
7.9,6,8,green,1,963,us,0.133,22.0,109.0
6.7,0,5,green,0,691,us,0.748,43.0,26.59
6.5,0,5,green,0,650,us,0.778,30.0,10.0
6.9,0,5,green,1,732,us,0.751,35.0,20.0
6.9,9,7,green,0,951,us,0.402,25.0,6.43
6.5,7,5,green,1,694,us,3.121,33.0,10.0
6.6,0,5,green,1,670,us,3.34,10.0,106.0
6.5,4,6,green,1,838,us,0.0,0.0,10.0
7.5,0,6,green,1,865,us,3.82,16.0,43.37
6.6,0,6,green,1,670,us,3.803,11.0,29.0
7.2,8,7,yellow,1,1017,us,2.25,46.0,24.0
6.6,0,6,green,0,670,us,2.666,22.0,10.0
7.4,0,6,green,1,842,us,2.885,17.0,39.0
7.6,0,7,green,1,889,us,2.828,13.0,22.56
6.6,6,5,green,1,677,us,0.761,20.0,135.0
6.5,0,6,green,1,650,us,3.787,16.0,20.0
7.1,0,7,green,1,776,us,3.729,21.0,60.53
7.7,8,9,yellow,1,1057,us,1.029,44.0,22.4
6.5,7,7,green,0,670,us,0.828,82.0,24.07
6.9,0,5,green,0,732,us,0.828,119.0,28.42
8.2,9,8,yellow,1,1332,us,0.609,23.0,25.0
6.7,7,7,green,1,718,us,1.008,44.0,20.0
6.8,5,5,green,1,1211,nc,0.6568,229.0,16.441
6.5,4,5,green,1,668,us,1.001,17.0,119.0
6.5,5,4,green,1,681,us,1.635,30.0,14.83
6.9,3,8,yellow,0,733,us,7.496,18.0,10.0
6.5,0,5,green,1,650,us,0.409,20.0,122.0
6.5,0,3,green,1,650,us,3.651,22.0,44.26
6.5,0,4,green,1,650,us,3.997,14.0,187.0
6.5,3,4,green,0,651,us,5.194,22.0,371.0
7.7,1,8,green,1,912,us,8.05,23.0,10.0
6.9,0,5,green,1,732,us,8.284,17.0,9.97
6.6,6,7,green,1,723,us,0.636,31.0,27.0
7.1,6,4,green,1,872,us,3.968,10.0,35.0
6.6,8,5,green,1,692,us,1.98,44.0,9.45
6.8,0,6,green,1,711,us,5.79,9.0,35.0
7.1,9,8,orange,1,1092,us,3.144,12.0,19.04
6.6,5,6,yellow,0,691,us,1.984,40.0,40.0
6.7,0,3,green,0,691,us,2.958,11.0,573.0
6.5,0,4,green,1,650,us,1.709,21.0,41.54
6.8,7,7,orange,0,1005,us,7.359,17.0,12.0
7.1,8,7,green,1,843,us,4.446,17.0,40.0
7.7,5,8,red,0,2015,us,7.241,17.0,15.0
6.5,0,6,green,1,650,us,0.735,24.0,20.0
6.5,5,3,green,0,739,us,3.276,26.0,402.0
6.5,4,5,green,0,668,us,3.097,11.0,112.0
7.0,5,6,green,0,758,us,0.624,53.0,29.0
6.5,9,7,yellow,1,690,us,0.0,0.0,8.2
6.7,4,5,green,1,715,us,3.741,22.0,12.0
6.5,6,7,yellow,1,693,us,0.0,20.0,17.0
7.3,0,6,green,1,820,us,0.0,43.0,11.0
6.6,4,6,green,0,674,us,0.0,14.0,56.0
7.3,0,4,green,1,820,us,0.0,24.0,385.5
6.6,0,7,green,1,670,us,0.0,16.0,10.0
6.5,5,6,green,1,679,us,0.0,27.0,30.0
6.7,5,4,green,0,710,us,0.0,24.0,9.0
6.7,0,3,green,1,691,us,0.0,25.2,624.0
8.3,5,5,green,1,1115,us,0.0,10.0,598.1
7.4,0,6,green,1,842,us,0.0,16.0,173.7
6.8,0,3,green,0,711,us,0.0,18.0,602.2
6.5,0,6,green,1,650,us,0.0,16.6,10.0
6.6,8,8,red,0,2083,us,0.0,12.6,14.0
7.2,5,7,green,1,804,us,0.0,10.1,110.0
6.6,7,7,green,1,672,us,0.0,11.0,13.0
7.7,8,8,yellow,0,1421,us,0.0,26.6,80.0
6.6,0,5,green,1,670,us,0.0,11.5,31.0
7.0,3,7,green,1,755,us,0.0,11.4,66.0
6.5,0,6,green,1,650,us,0.0,14.2,28.0
6.5,3,6,green,0,651,us,0.0,20.7,29.0
6.9,5,6,green,1,736,us,0.0,20.7,41.0
6.6,0,7,green,1,670,us,0.0,15.3,11.0
6.6,0,6,green,1,670,us,0.0,16.6,18.0
6.9,5,5,green,1,904,us,0.0,23.7,145.0
